stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,platform_code
5915,,"Karoliniškių poliklinika","iš centro",54.69283,25.21416,https://www.stops.lt/vilnius/index.html#stop/1704,,,
5923,,"Pasakų parkas","",54.68477,25.20559,https://www.stops.lt/vilnius/index.html#stop/1717,,,
5924,,"Pasakų parkas","įlaipinimas",54.68461,25.20607,https://www.stops.lt/vilnius/index.html#stop/1716,,,
5919,,"Ugniagesių st.","iš centro",54.68951,25.20904,https://www.stops.lt/vilnius/index.html#stop/1711,,,
6400,,"Ugniagesių st.","link centro",54.69021,25.21068,https://www.stops.lt/vilnius/index.html#stop/1710,,,
5971,,"Kineliai","iš miesto",54.59737,25.31626,https://www.stops.lt/vilnius/index.html#stop/4326,,,
5972,,"Kineliai","link miesto",54.59760,25.31564,https://www.stops.lt/vilnius/index.html#stop/4325,,,
410,,"Dariaus ir Girėno st.","link centro",54.64755,25.27318,https://www.stops.lt/vilnius/index.html#stop/2608,,,
5182,,"Dariaus ir Girėno st.","iš centro",54.64719,25.27313,https://www.stops.lt/vilnius/index.html#stop/2607,,,
5180,,"Eišiškių plentas","iš centro",54.65129,25.27177,https://www.stops.lt/vilnius/index.html#stop/2603,,,
5181,,"Eišiškių plentas","link centro",54.65148,25.27186,https://www.stops.lt/vilnius/index.html#stop/2604,,,
5184,,"Felikso Vaitkaus st.","link centro",54.64352,25.27401,https://www.stops.lt/vilnius/index.html#stop/2612,,,
588,,"Kirtimai","link centro",54.63684,25.27461,https://www.stops.lt/vilnius/index.html#stop/2618,,,
5193,,"Kirtimai","iš centro",54.63748,25.27466,https://www.stops.lt/vilnius/index.html#stop/2619,,,
690,,"Kirtimų geležinkelio stotis","įlaipinimas",54.62953,25.27220,https://www.stops.lt/vilnius/index.html#stop/2622,,,
493,,"Tiekimo st.","link centro",54.63206,25.27312,https://www.stops.lt/vilnius/index.html#stop/2620,,,
5194,,"Tiekimo st.","iš centro",54.63323,25.27323,https://www.stops.lt/vilnius/index.html#stop/2621,,,
6961,,"Dilgynė","link centro",54.63435,25.25372,https://www.stops.lt/vilnius/index.html#stop/2628,,,
5304,,"Eišiškių plentas","iš centro",54.64925,25.26784,https://www.stops.lt/vilnius/index.html#stop/2601,,,
5305,,"Eišiškių plentas","link centro",54.65041,25.26936,https://www.stops.lt/vilnius/index.html#stop/2602,,,
6947,,"Hidrogeologijos st.","link centro",54.64344,25.26321,https://www.stops.lt/vilnius/index.html#stop/2614,,,
6948,,"Hidrogeologijos st.","iš centro",54.64295,25.26267,https://www.stops.lt/vilnius/index.html#stop/2615,,,
5307,,"Metalo st.","link centro",54.64632,25.26573,https://www.stops.lt/vilnius/index.html#stop/2606,,,
6949,,"Verslo st.","iš centro",54.63898,25.25882,https://www.stops.lt/vilnius/index.html#stop/2625,,,
6950,,"Verslo st.","link centro",54.63933,25.25934,https://www.stops.lt/vilnius/index.html#stop/2624,,,
5320,,"Verslo st.","nuo Eišiškių pl.",54.63701,25.25814,https://www.stops.lt/vilnius/index.html#stop/2626,,,
5316,,"Meistrų st.","iš centro",54.63085,25.25945,https://www.stops.lt/vilnius/index.html#stop/2639,,,
491,,"Geologų st.","link centro",54.63986,25.26679,https://www.stops.lt/vilnius/index.html#stop/2616,,,
5313,,"Geologų st.","iš centro",54.63868,25.26684,https://www.stops.lt/vilnius/index.html#stop/2617,,,
5315,,"Katilinė","iš centro",54.63486,25.26604,https://www.stops.lt/vilnius/index.html#stop/2623,,,
5310,,"Metalo st.","iš centro",54.64556,25.26567,https://www.stops.lt/vilnius/index.html#stop/2609,,,
5317,,"Pameistrių st.","iš centro",54.63078,25.26474,https://www.stops.lt/vilnius/index.html#stop/2640,,,
5319,,"Elektros st.","iš centro",54.63399,25.25666,https://www.stops.lt/vilnius/index.html#stop/2627,,,
4290,,"Paštas","išlaipinimas",54.63581,25.27655,https://www.stops.lt/vilnius/index.html#stop/2641,,,
7817,,"Rodūnios kelias","iš centro",54.64160,25.27772,https://www.stops.lt/vilnius/index.html#stop/2644,,,
7820,,"Rodūnios kelias","link centro",54.64221,25.27783,https://www.stops.lt/vilnius/index.html#stop/2645,,,
8240,,"Felikso Vaitkaus st.","iš centro",54.64478,25.27357,https://www.stops.lt/vilnius/index.html#stop/2611,,,
8347,,"Dilgynė","iš centro",54.63490,25.25412,https://www.stops.lt/vilnius/index.html#stop/2630,,,
8339,,"Metalo st.","iš centro",54.64581,25.26501,https://www.stops.lt/vilnius/index.html#stop/2605,,,
9729,,"Meistrų st.","link centro",54.63073,25.25939,https://www.stops.lt/vilnius/index.html#stop/2651,,,
9730,,"Katilinė","link centro",54.63488,25.26621,https://www.stops.lt/vilnius/index.html#stop/2652,,,
9731,,"Pameistrių st.","link centro",54.63079,25.26495,https://www.stops.lt/vilnius/index.html#stop/2653,,,
9728,,"Elektros st.","link centro",54.63374,25.25639,https://www.stops.lt/vilnius/index.html#stop/2650,,,
9276,,"Paštas","visos kryptys",54.63595,25.27704,https://www.stops.lt/vilnius/index.html#stop/2649,,,
